iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
USA,North America,United States,2021-03-01,28706973,58229,68000.429,516536,1520,2013.571,86727.322,175.917,205.438,1560.519,4.592,6.083,0.88,11348,34.284,43641,131.845,,,,,985806,345506780,1043.819,2.978,1294615,3.911,0.051,19.6,tests performed,76899987,50732997,25466405,1663984,1817502,22.99,15.17,7.61,5434,68.06,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926
USA,North America,United States,2021-03-02,28764033,57060,65828.571,518486,1950,1967.286,86899.707,172.385,198.876,1566.41,5.891,5.943,0.88,11022,33.299,42573,128.618,,,,,1600875,347107655,1048.655,4.836,1289853,3.897,0.05,20,tests performed,78631601,51755447,26162122,1731614,1942788,23.51,15.48,7.82,5809,68.06,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926
USA,North America,United States,2021-03-03,28831226,67193,64751.571,520977,2491,1869.143,87102.705,202.998,195.623,1573.936,7.526,5.647,0.88,10739,32.444,42079,127.126,,,,,1723233,348830888,1053.861,5.206,1296135,3.916,0.048,20.8,tests performed,80540474,52855579,26957804,1908873,2010790,24.08,15.8,8.06,6012,68.06,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926
USA,North America,United States,2021-03-04,28899277,68051,63401.571,522915,1938,1796.571,87308.296,205.591,191.544,1579.791,5.855,5.428,0.88,10536,31.831,40104,121.159,,,,,1538772,350369660,1058.51,4.649,1287145,3.889,0.048,20.8,tests performed,82572848,54035670,27795980,2032374,2042676,24.69,16.16,8.31,6108,64.35,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926
USA,North America,United States,2021-03-05,28965728,66451,61845.143,524700,1785,1756.143,87509.052,200.757,186.842,1585.184,5.393,5.306,0.88,10301,31.121,39458,119.208,,,,,1419422,351789082,1062.798,4.288,1280768,3.869,0.047,21.3,tests performed,85008094,55547697,28701201,2435246,2079147,25.42,16.61,8.58,6217,64.35,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926
USA,North America,United States,2021-03-06,29023931,58203,60934.857,526206,1506,1754.857,87684.891,175.838,184.092,1589.734,4.55,5.302,0.88,10001,30.214,38107,115.126,,,,,1060828,352849910,1066.003,3.205,1279590,3.866,0.046,21.7,tests performed,87912323,57358849,29776160,2904229,2158020,26.29,17.15,8.9,6453,64.35,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926
USA,North America,United States,2021-03-07,29064938,41007,59456.286,526904,698,1698.286,87808.778,123.887,179.625,1591.842,2.109,5.131,0.88,9824,29.68,37700,113.896,,,35520,107.31,605627,353455537,1067.833,1.83,1276366,3.856,0.045,22.2,tests performed,90351750,58873710,30686881,2439427,2159392,27.02,17.6,9.18,6457,64.35,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926
USA,North America,United States,2021-03-08,29109974,45036,57571.571,527644,740,1586.857,87944.837,136.059,173.931,1594.078,2.236,4.794,0.88,9770,29.516,37583,113.543,,,,,969801,354425338,1070.763,2.93,1274080,3.849,0.044,22.7,tests performed,92089852,60005231,31493040,1738102,2169981,27.54,17.94,9.42,6488,64.35,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926
USA,North America,United States,2021-03-09,29167616,57642,57654.714,529451,1807,1566.429,88118.981,174.144,174.182,1599.537,5.459,4.732,0.9,9597,28.994,36944,111.612,,,,,1531693,355957031,1075.39,4.627,1264197,3.819,0.044,22.7,tests performed,93692598,61088527,32102061,1602746,2151571,28.01,18.27,9.6,6433,64.35,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926
USA,North America,United States,2021-03-10,29225536,57920,56330,531023,1572,1435.143,88293.965,174.983,170.18,1604.286,4.749,4.336,0.9,9440,28.519,36561,110.455,,,,,1596276,357553307,1080.213,4.823,1246060,3.765,0.044,22.7,tests performed,95721290,62451150,32904161,2028692,2168688,28.62,18.67,9.84,6485,64.35,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926
USA,North America,United States,2021-03-11,29288010,62474,55533.286,532590,1567,1382.143,88482.706,188.742,167.773,1609.02,4.734,4.176,0.91,9227,27.876,35836,108.265,,,,,1487207,359040514,1084.706,4.493,1238693,3.742,0.044,22.7,tests performed,98203893,64071674,33863127,2482603,2233006,29.36,19.16,10.13,6677,64.35,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926
USA,North America,United States,2021-03-12,29349533,61523,54829.286,534160,1570,1351.429,88668.575,185.869,165.646,1613.764,4.743,4.083,0.92,9105,27.507,35552,107.407,,,,,1390881,360431395,1088.908,4.202,1234616,3.73,0.044,22.7,tests performed,101128005,65965305,35000159,2924112,2302844,30.24,19.72,10.47,6886,64.35,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926
USA,North America,United States,2021-03-13,29402465,52932,54076.286,535156,996,1278.571,88828.489,159.914,163.371,1616.773,3.009,3.863,0.93,8885,26.843,34590,104.501,,,,,1019604,361450999,1091.988,3.08,1228727,3.712,0.043,23.3,tests performed,105703501,68884011,36929777,4575496,2541597,31.61,20.6,11.04,7600,64.35,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926
